audio_file,lyrics,prompt
segment_0.wav,"[Intro] Get on your knees and bow down","male vocalist, metal, dark, slow and melodic"
segment_1.wav,"[Verse 1] Yeah, I come alive, I'll survive, take on anything, So paint a target on my back, let 'em come for me, I don't fall, don't quit, don't ever sleep, 'Cause I'm on another level that you'll never reach, If you seek forgiveness, You'll get nothing, you'll get nothing from me","male vocalist, metal, dark, slow and melodic"
segment_2.wav,"[Chorus] You will never know, it's the price I pay, Look into my eyes, we are not the same, Yeah, this is where you fall apart, Yeah, this is where you break, 'Cause I'm in control and you'll know my name, 'Cause I gave my life, gave it everything, Yeah, this is where you fall apart, Yeah, this is where you break, To everybody who doubted, Get on your knees and bow down, Get on your knees and bow down down","male vocalist, metal, dark, slow and melodic"
segment_3.wav,"[Post-Chorus] You better recognize","male vocalist, metal, dark, slow and melodic"
segment_4.wav,"[Verse 2] You wanna talk that shit, time to back it up, 'Cause the best of your best ain't good enough, Playing with my name, now I know you really fucked up, Keep running your mouth and I'ma call your bluff","male vocalist, metal, dark, slow and melodic"
segment_5.wav,"[Chorus] You will never know, it's the price I pay, Look into my eyes, we are not the same, Yeah, this is where you fall apart (Fall apart), Yeah, this is where you break, 'Cause I'm in control and you'll know my name, 'Cause I gave my life, gave it everything, Yeah, this is where you fall apart (Fall apart), Yeah, this is where you break (Where you break), To everybody who doubted, Get on your knees and—","male vocalist, metal, dark, slow and melodic"
segment_6.wav,"[Post-Chorus] You're never gonna be enough","male vocalist, metal, dark, slow and melodic"
segment_7.wav,"[Bridge] So I had this dream, it meant everything, and I watched it come alive, Then I let you in, underneath my skin, and I learned to love the lies, Now I lay awake and I contemplate, have I become what I hate? Can I take it back? 'Cause it's all I have, will it get the best of me?","male vocalist, metal, dark, slow and melodic"
segment_8.wav,"[Breakdown] Have you ever had a dream? Would you fight for it? Would you go to war? Would you die for it? So now I'll take my stand, now I'll make you see, That if you seek forgiveness, you'll get nothing from me, You'll get nothing from me, You'll get nothing from me, You'll get nothing from me","male vocalist, metal, dark, slow and melodic"
segment_9.wav,"[Outro] To everybody who doubted, to everybody who doubted, To everybody who doubted, Get on your knees and bow down, bow down, bow down","male vocalist, metal, dark, slow and melodic"

segment_10.wav,"[Chorus] I think, I think too much, I'm a little bit paranoid, I think I’m breaking, Maybe it's in my blood, Got a pain that I can't avoid, I think I’m breaking down","male vocalist, metal, dark, slow and melodic"
segment_11.wav,"[Verse 1] Hate every single second, minute, hour every day,Person in the mirror, they won't let me feel a thing,Keep me focused on my problems, I'm addicted to the pain,Everybody's out to get you","male vocalist, metal, dark, slow and melodic"
segment_12.wav,"[Pre-Chorus] I guess I never noticed how it came creeping in, My enemy emotion, but I can't sink or swim, I say I'm feeling hopeless, they give me medicine, They give me medicine, they give me medicine","male vocalist, metal, dark, slow and melodic"
segment_13.wav,"[Chorus] I think I think too much (Too much), I'm a little bit paranoid, I think I'm breaking, Maybe it’s in my blood (My blood), Got a pain that I can’t avoid, I think I'm breaking, Down, I think I’m breaking, Down, I think I'm breaking, I think I think too much (Too much), I'm a little bit paranoid, I think I'm breaking down","male vocalist, metal, dark, slow and melodic"
segment_14.wav,"[Verse 2] Lies, every time they ask me, I just tell ’em that I'm fine, Try to hide my demons, but they only multiply, Keep me running from the voices on repeat inside my mind, Everybody fucking hates you","male vocalist, metal, dark, slow and melodic"
segment_15.wav,"[Pre-Chorus] I guess I never noticed how it came creeping in, My enemy emotion, but I can't sink or swim, I say I'm feeling hopeless, but no one's listening, But no one's listening, but no one's listening","male vocalist, metal, dark, slow and melodic"
segment_16.wav,"[Chorus] I think I think too much (Too much), I'm a little bit paranoid, I think I'm breaking, Maybe it's in my blood (My blood), Got a pain that I can't avoid, I think I'm breaking, Down, I think I'm breaking, Down, I think I'm breaking, I think I think too much (Too much), I'm a little bit paranoid, I think I'm breaking down","male vocalist, metal, dark, slow and melodic"
segment_17.wav,"[Outro] I don't really like myself, I don't really like myself, I don't really like myself, I don't really like myself, I think I'm breaking down"







